"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue"
"GO:0050866","GO:0050866","negative regulation of cell activation","26/547","199/18670",1.79952744187897e-10,7.73222482739271e-09,6.35980807006721e-09
"GO:0002456","GO:0002456","T cell mediated immunity","19/547","106/18670",2.28059825447228e-10,9.59418037176642e-09,7.89127930396915e-09
"GO:0006874","GO:0006874","cellular calcium ion homeostasis","41/547","458/18670",2.29157643370802e-10,9.59418037176642e-09,7.89127930396915e-09
"GO:0043383","GO:0043383","negative T cell selection","8/547","12/18670",2.30412353568047e-10,9.59418037176642e-09,7.89127930396915e-09
"GO:0043373","GO:0043373","CD4-positive, alpha-beta T cell lineage commitment","9/547","17/18670",2.93907186865284e-10,1.21131747729478e-08,9.96316951392949e-09
"GO:0002228","GO:0002228","natural killer cell mediated immunity","15/547","64/18670",3.53170200348601e-10,1.44086306990707e-08,1.18511977916022e-08
"GO:0050854","GO:0050854","regulation of antigen receptor-mediated signaling pathway","15/547","65/18670",4.46886055875115e-10,1.787101762059e-08,1.46990348342039e-08
"GO:0072678","GO:0072678","T cell migration","15/547","65/18670",4.46886055875115e-10,1.787101762059e-08,1.46990348342039e-08
"GO:0042089","GO:0042089","cytokine biosynthetic process","20/547","123/18670",4.69833530923929e-10,1.86044865823701e-08,1.53023180969651e-08
"GO:0042107","GO:0042107","cytokine metabolic process","20/547","124/18670",5.4514274383767e-10,2.13770052656345e-08,1.75827337716064e-08
"GO:0002292","GO:0002292","T cell differentiation involved in immune response","15/547","68/18670",8.816346964254e-10,3.42396397967518e-08,2.81623390882446e-08
"GO:0050864","GO:0050864","regulation of B cell activation","24/547","184/18670",9.40130297692661e-10,3.61636787845777e-08,2.97448743811332e-08
"GO:0002363","GO:0002363","alpha-beta T cell lineage commitment","9/547","19/18670",1.05974906450705e-09,4.03804384107924e-08,3.32131881587315e-08
"GO:0002294","GO:0002294","CD4-positive, alpha-beta T cell differentiation involved in immune response","14/547","60/18670",1.46315453526127e-09,5.52306651207501e-08,4.54276017047178e-08
"GO:0030183","GO:0030183","B cell differentiation","20/547","131/18670",1.48053869145854e-09,5.53694053222318e-08,4.55417164741047e-08
"GO:0002360","GO:0002360","T cell lineage commitment","10/547","26/18670",1.49559959284813e-09,5.54195115184733e-08,4.55829291649319e-08
"GO:0030888","GO:0030888","regulation of B cell proliferation","14/547","61/18670",1.84854091833151e-09,6.78750615376453e-08,5.58277046722895e-08
"GO:0043369","GO:0043369","CD4-positive or CD8-positive, alpha-beta T cell lineage commitment","9/547","20/18670",1.87693386738894e-09,6.82967197331885e-08,5.61745214365053e-08
"GO:0045582","GO:0045582","positive regulation of T cell differentiation","16/547","83/18670",1.99890596013079e-09,7.20855461872167e-08,5.9290857238466e-08
"GO:0072503","GO:0072503","cellular divalent inorganic cation homeostasis","41/547","493/18670",2.06940034502446e-09,7.39673273765822e-08,6.08386352016506e-08
"GO:0002237","GO:0002237","response to molecule of bacterial origin","33/547","343/18670",2.28670957919554e-09,8.10177192137787e-08,6.66376309505181e-08
"GO:0046637","GO:0046637","regulation of alpha-beta T cell differentiation","14/547","63/18670",2.90898224292343e-09,1.01889279831991e-07,8.38046330253097e-08
"GO:0006968","GO:0006968","cellular defense response","13/547","53/18670",2.92625809866576e-09,1.01889279831991e-07,8.38046330253097e-08
"GO:0032496","GO:0032496","response to lipopolysaccharide","32/547","330/18670",3.31200382642954e-09,1.1433490132435e-07,9.40412422511167e-08
"GO:0071219","GO:0071219","cellular response to molecule of bacterial origin","25/547","212/18670",3.52449158066664e-09,1.20639165206039e-07,9.92265426278672e-08
"GO:0002700","GO:0002700","regulation of production of molecular mediator of immune response","20/547","139/18670",4.27488131496631e-09,1.45094501102092e-07,1.1934122450273e-07
"GO:0045060","GO:0045060","negative thymic T cell selection","7/547","11/18670",5.31669223513659e-09,1.78765463998159e-07,1.47035822931208e-07
"GO:1903708","GO:1903708","positive regulation of hemopoiesis","23/547","185/18670",5.3988139396236e-09,1.78765463998159e-07,1.47035822931208e-07
"GO:0002295","GO:0002295","T-helper cell lineage commitment","8/547","16/18670",5.39969958102883e-09,1.78765463998159e-07,1.47035822931208e-07
"GO:0002715","GO:0002715","regulation of natural killer cell mediated immunity","12/547","46/18670",5.56718392764899e-09,1.82811836453449e-07,1.50363992089518e-07
"GO:0002381","GO:0002381","immunoglobulin production involved in immunoglobulin mediated immune response","13/547","56/18670",6.06464860425788e-09,1.97541255746755e-07,1.62479040704906e-07
"GO:0019722","GO:0019722","calcium-mediated signaling","25/547","218/18670",6.2706528174946e-09,2.02617333838886e-07,1.66654149827478e-07
"GO:0043370","GO:0043370","regulation of CD4-positive, alpha-beta T cell differentiation","12/547","47/18670",7.27887909004108e-09,2.31860630795226e-07,1.90706962585771e-07
"GO:0071216","GO:0071216","cellular response to biotic stimulus","26/547","236/18670",7.29049272369243e-09,2.31860630795226e-07,1.90706962585771e-07
"GO:0019724","GO:0019724","B cell mediated immunity","25/547","221/18670",8.29699952485405e-09,2.61809227194418e-07,2.15339888983876e-07
"GO:0071222","GO:0071222","cellular response to lipopolysaccharide","24/547","205/18670",8.38457813964226e-09,2.62521791519497e-07,2.15925978039257e-07
"GO:0042093","GO:0042093","T-helper cell differentiation","13/547","58/18670",9.59732088935817e-09,2.98181377477828e-07,2.45256232605784e-07
"GO:0051250","GO:0051250","negative regulation of lymphocyte activation","20/547","146/18670",1.01471316632134e-08,3.1285698311236e-07,2.57327019116928e-07
"GO:0072540","GO:0072540","T-helper 17 cell lineage commitment","7/547","12/18670",1.24374840693326e-08,3.78235674508189e-07,3.11101442188099e-07
"GO:0002709","GO:0002709","regulation of T cell mediated immunity","14/547","70/18670",1.24549008936839e-08,3.78235674508189e-07,3.11101442188099e-07
"GO:0042267","GO:0042267","natural killer cell mediated cytotoxicity","13/547","60/18670",1.48939421549931e-08,4.48930092268785e-07,3.69248086733372e-07
"GO:0002685","GO:0002685","regulation of leukocyte migration","23/547","196/18670",1.64135361019595e-08,4.91068683820847e-07,4.03907367935939e-07
"GO:0006959","GO:0006959","humoral immune response","32/547","356/18670",2.07215148921371e-08,6.15398519480453e-07,5.06169512380685e-07
"GO:0045059","GO:0045059","positive thymic T cell selection","7/547","13/18670",2.62668876980133e-08,7.74393864323181e-07,6.36944276411295e-07
"GO:0032103","GO:0032103","positive regulation of response to external stimulus","30/547","323/18670",2.76383486900076e-08,8.08922393905367e-07,6.65344229333821e-07
"GO:0045076","GO:0045076","regulation of interleukin-2 biosynthetic process","8/547","19/18670",2.9336769024711e-08,8.46552140518942e-07,6.96294954581718e-07
"GO:0019932","GO:0019932","second-messenger-mediated signaling","36/547","439/18670",2.93432284408645e-08,8.46552140518942e-07,6.96294954581718e-07
"GO:0042269","GO:0042269","regulation of natural killer cell mediated cytotoxicity","11/547","44/18670",3.94303629012869e-08,1.12949812594538e-06,9.29019972500646e-07
"GO:0045088","GO:0045088","regulation of innate immune response","36/547","452/18670",6.14490522754935e-08,1.74783607141351e-06,1.43760718296114e-06
"GO:0001773","GO:0001773","myeloid dendritic cell activation","9/547","28/18670",6.25882771333836e-08,1.76779056882333e-06,1.45401989424335e-06
"GO:0046638","GO:0046638","positive regulation of alpha-beta T cell differentiation","11/547","47/18670",8.26921087011155e-08,2.31939879891532e-06,1.90772145512223e-06
"GO:0042094","GO:0042094","interleukin-2 biosynthetic process","8/547","22/18670",1.14832540798092e-07,3.19868022264479e-06,2.63093647011818e-06
"GO:0016064","GO:0016064","immunoglobulin mediated immune response","23/547","218/18670",1.19799612773772e-07,3.31418243831003e-06,2.72593783643853e-06
"GO:0045954","GO:0045954","positive regulation of natural killer cell mediated cytotoxicity","9/547","30/18670",1.23036030116806e-07,3.38056139892367e-06,2.78053498781697e-06
"GO:2000514","GO:2000514","regulation of CD4-positive, alpha-beta T cell activation","12/547","61/18670",1.67026738268149e-07,4.55824997206117e-06,3.7491919343832e-06
"GO:0002312","GO:0002312","B cell activation involved in immune response","13/547","73/18670",1.7555337696052e-07,4.75879254727209e-06,3.91413958097776e-06
"GO:0001776","GO:0001776","leukocyte homeostasis","14/547","86/18670",1.90257170905074e-07,5.12299142190396e-06,4.21369565878185e-06
"GO:0032623","GO:0032623","interleukin-2 production","12/547","62/18670",2.01665337324571e-07,5.39421389042347e-06,4.43677800346007e-06
"GO:1903038","GO:1903038","negative regulation of leukocyte cell-cell adhesion","17/547","129/18670",2.29524240980694e-07,6.09900269290148e-06,5.01647163805451e-06
"GO:0002637","GO:0002637","regulation of immunoglobulin production","12/547","63/18670",2.42564308509531e-07,6.40338066712414e-06,5.26682461407691e-06
"GO:0050857","GO:0050857","positive regulation of antigen receptor-mediated signaling pathway","8/547","24/18670",2.50783462857462e-07,6.57736627585252e-06,5.40992897319309e-06
"GO:0002717","GO:0002717","positive regulation of natural killer cell mediated immunity","9/547","33/18670",3.06634771089566e-07,7.93908872070999e-06,6.52995504425554e-06
"GO:0032633","GO:0032633","interleukin-4 production","9/547","33/18670",3.06634771089566e-07,7.93908872070999e-06,6.52995504425554e-06
"GO:0050727","GO:0050727","regulation of inflammatory response","36/547","485/18670",3.48436455333795e-07,8.9382609977433e-06,7.35178111019608e-06
"GO:1990266","GO:1990266","neutrophil migration","16/547","118/18670",3.49652200456411e-07,8.9382609977433e-06,7.35178111019608e-06
"GO:0030593","GO:0030593","neutrophil chemotaxis","15/547","104/18670",3.59170445135661e-07,9.07198038606355e-06,7.46176622624583e-06
"GO:0050901","GO:0050901","leukocyte tethering or rolling","8/547","25/18670",3.59375306207024e-07,9.07198038606355e-06,7.46176622624583e-06
"GO:0032655","GO:0032655","regulation of interleukin-12 production","11/547","54/18670",3.77461436268269e-07,9.39156362378918e-06,7.7246256360169e-06
"GO:0032663","GO:0032663","regulation of interleukin-2 production","11/547","54/18670",3.77461436268269e-07,9.39156362378918e-06,7.7246256360169e-06
"GO:0022408","GO:0022408","negative regulation of cell-cell adhesion","20/547","181/18670",3.79010861767179e-07,9.39156362378918e-06,7.7246256360169e-06
"GO:0045066","GO:0045066","regulatory T cell differentiation","9/547","34/18670",4.06263465121241e-07,1.00054764367359e-05,8.22957314456122e-06
"GO:0050777","GO:0050777","negative regulation of immune response","18/547","150/18670",4.24921937502425e-07,1.04015739731654e-05,8.55536609095792e-06
"GO:0072539","GO:0072539","T-helper 17 cell differentiation","8/547","26/18670",5.05837264707005e-07,1.23076910370578e-05,1.01231604782201e-05
"GO:0032615","GO:0032615","interleukin-12 production","11/547","56/18670",5.56850912114251e-07,1.34677894253261e-05,1.10773493768205e-05
"GO:0045086","GO:0045086","positive regulation of interleukin-2 biosynthetic process","6/547","13/18670",8.86344778384708e-07,2.13092057136657e-05,1.75269681740736e-05
"GO:0050868","GO:0050868","negative regulation of T cell activation","15/547","112/18670",9.52840011551338e-07,2.27723124654193e-05,1.87303835344505e-05
"GO:0097529","GO:0097529","myeloid leukocyte migration","21/547","210/18670",1.02823011144069e-06,2.44295377653467e-05,2.00934627350267e-05
"GO:0002687","GO:0002687","positive regulation of leukocyte migration","16/547","128/18670",1.07015925234903e-06,2.52770363756592e-05,2.07905361675194e-05
"GO:0002688","GO:0002688","regulation of leukocyte chemotaxis","15/547","114/18670",1.19889118851543e-06,2.81530320372896e-05,2.31560623681438e-05
"GO:0002704","GO:0002704","negative regulation of leukocyte mediated immunity","10/547","49/18670",1.26150956120223e-06,2.94522376745421e-05,2.4224667935225e-05
"GO:0050855","GO:0050855","regulation of B cell receptor signaling pathway","8/547","29/18670",1.2859796982477e-06,2.96804114355569e-05,2.44123424220736e-05
"GO:0072538","GO:0072538","T-helper 17 type immune response","8/547","29/18670",1.2859796982477e-06,2.96804114355569e-05,2.44123424220736e-05
"GO:1903555","GO:1903555","regulation of tumor necrosis factor superfamily cytokine production","18/547","163/18670",1.45680766304655e-06,3.34320804036649e-05,2.74981159364528e-05
"GO:0046629","GO:0046629","gamma-delta T cell activation","6/547","14/18670",1.51269833473139e-06,3.45185795140118e-05,2.83917689230584e-05
"GO:0002260","GO:0002260","lymphocyte homeostasis","11/547","62/18670",1.621531113089e-06,3.63853564764805e-05,2.99272058064848e-05
"GO:0002562","GO:0002562","somatic diversification of immune receptors via germline recombination within a single locus","11/547","62/18670",1.621531113089e-06,3.63853564764805e-05,2.99272058064848e-05
"GO:0016444","GO:0016444","somatic cell DNA recombination","11/547","62/18670",1.621531113089e-06,3.63853564764805e-05,2.99272058064848e-05
"GO:0032743","GO:0032743","positive regulation of interleukin-2 production","8/547","30/18670",1.70886830484076e-06,3.79237312266583e-05,3.11925296129406e-05
"GO:0043372","GO:0043372","positive regulation of CD4-positive, alpha-beta T cell differentiation","8/547","30/18670",1.70886830484076e-06,3.79237312266583e-05,3.11925296129406e-05
"GO:0002200","GO:0002200","somatic diversification of immune receptors","12/547","75/18670",1.72523562132512e-06,3.80777413908862e-05,3.13192040316485e-05
"GO:0002712","GO:0002712","regulation of B cell mediated immunity","10/547","51/18670",1.86096511594306e-06,4.04355939227291e-05,3.32585539464258e-05
"GO:0002889","GO:0002889","regulation of immunoglobulin mediated immune response","10/547","51/18670",1.86096511594306e-06,4.04355939227291e-05,3.32585539464258e-05
"GO:0034612","GO:0034612","response to tumor necrosis factor","26/547","312/18670",1.86209964585977e-06,4.04355939227291e-05,3.32585539464258e-05
"GO:2000401","GO:2000401","regulation of lymphocyte migration","11/547","63/18670",1.91323562944235e-06,4.13238433546398e-05,3.39891452097948e-05
"GO:0033209","GO:0033209","tumor necrosis factor-mediated signaling pathway","18/547","167/18670",2.07219643826892e-06,4.45191564583413e-05,3.66173122014373e-05
"GO:0048247","GO:0048247","lymphocyte chemotaxis","11/547","64/18670",2.24999032598723e-06,4.80197410164556e-05,3.94965670627002e-05
"GO:0071706","GO:0071706","tumor necrosis factor superfamily cytokine production","18/547","168/18670",2.25891329366838e-06,4.80197410164556e-05,3.94965670627002e-05
"GO:0001818","GO:0001818","negative regulation of cytokine production","25/547","296/18670",2.30563562547022e-06,4.87563470747341e-05,4.0102430608895e-05
"GO:0050663","GO:0050663","cytokine secretion","22/547","240/18670",2.46407722412186e-06,5.18354578553551e-05,4.26350203910558e-05
"GO:0050729","GO:0050729","positive regulation of inflammatory response","17/547","153/18670",2.61153583780982e-06,5.46528147612117e-05,4.49523158119869e-05
